country_code,country_name,year,ladder,log_gdp,social_support,life_exp_healthy,freedom,generosity,corruption,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
DEU,Germany,2023,6.8917999267578125,10.878609657287598,0.8959547877311707,71.29983520507812,0.845851480960846,0.0300377290695905,0.4195641279220581,63676.087821808,80.6080487804878,91.62984383,81.7867852780995,5.23916006088257,2.07605246190373
BEL,Belgium,2023,6.859099864959717,10.843586921691896,0.9148709774017334,70.89908599853516,0.8252285122871399,0.0014193850802257,0.5485734343528748,62561.7810453236,81.7487804878049,94.00783071,87.489200269855,6.27611017227173,2.22243107053374
CZE,Czechia,2023,6.845200061798096,10.6110200881958,0.9525779485702516,69.04974365234375,0.90251487493515,0.039763081818819,0.8589491844177246,48390.661678675,78.9292682926829,84.54009378,72.6967638379524,4.30291986465454,3.02937517288668
GBR,United Kingdom,2023,6.795599937438965,10.70424461364746,0.8822047114372253,70.30000305175781,0.8521915674209595,0.2533075213432312,0.4540797472000122,53139.151252206,81.0112195121951,95.46530151,83.0753982997505,,2.91635435189931
LTU,Lithuania,2023,6.763000011444092,10.567838668823242,0.9393466114997864,67.3969955444336,0.7478520274162292,-0.1452128291130066,0.8050867319107056,46651.2145810247,75.6439024390244,87.72420219,68.2866452426813,4.25285005569458,3.40588108209325
FRA,France,2023,6.661300182342529,10.700735092163086,0.9088037610054016,72.30005645751953,0.818730354309082,-0.1002898514270782,0.5526185035705566,53673.8137406422,82.1292682926829,85.33331734,78.7591921123356,5.32434988021851,4.0180319137717
SVN,Slovenia,2023,6.649899959564209,10.58829116821289,0.9505247473716736,71.05184936523438,0.9132804870605468,0.0144006377086043,0.7712460160255432,47050.0676441642,81.2829268292683,88.91248552,55.3377817873563,5.28065013885498,3.64010857871706
CRI,Costa Rica,2023,6.608500003814697,9.951566696166992,0.8716379404067993,70.0,0.8950209617614746,-0.0698049068450927,0.767810046672821,24831.7193480342,79.316,82.59801121,78.4405687613972,5.5472297668457,5.4175310653788
ROU,Romania,2023,6.589099884033203,10.339055061340332,0.8479619026184082,67.05085754394531,0.8558145761489868,-0.1717483699321746,0.9290894269943236,39256.9888833852,75.1536585365854,85.50309124,52.1634832477272,3.2788200378418,3.88647349252643
SGP,Singapore,2023,6.586699962615967,11.571497917175291,0.8775396943092346,73.80000305175781,0.8776695728302002,0.0627389848232269,0.1461123824119568,133571.962410322,82.8951219512195,95.95386476,100.0,2.47478008270264,28.3188156351916
ARE,United Arab Emirates,2023,6.571199893951416,11.145174026489258,0.825512707233429,66.24315643310547,0.9417835474014282,0.0956914871931076,0.5837928652763367,70075.6300053372,80.487,100.0,85.5147347682487,,4.44591399207935
URY,Uruguay,2023,6.493899822235107,10.03650951385498,0.9132089614868164,67.5,0.8952000141143799,-0.0646173283457756,0.574579119682312,30804.7032775797,76.468,89.87304314,95.4977416992188,4.4795298576355,12.4804063396028
SVK,Slovakia,2023,6.468599796295166,10.353433609008787,0.9525606036186218,68.83783721923828,0.7532278895378113,-0.0164425987750291,0.897835910320282,38664.9076949851,76.9658536585366,89.06766196,53.1902831072528,4.65688991546631,4.16872005912019
SAU,Saudi Arabia,2023,6.462600231170654,10.71545124053955,0.8838691711425781,64.39929962158203,0.8938149809837341,-0.0806520581245422,0.6913089752197266,67178.5902274906,77.31,100.0,84.1349430023993,,2.1556449627378
EST,Estonia,2023,6.4552001953125,10.541337966918944,0.945625901222229,69.6501693725586,0.9287907481193542,0.0317642949521541,0.4094670116901397,43128.6327713627,77.8439024390244,91.52016546,70.4892333736738,5.20733976364136,4.52988372813183
ESP,Spain,2023,6.436200141906738,10.540300369262695,0.9317399263381958,72.3499755859375,0.782114565372467,-0.0659279972314834,0.7105185389518738,46733.4809780536,83.1341463414634,94.4855432,79.9548794567814,4.58553981781006,4.65609043363165
ITA,Italy,2023,6.4045000076293945,10.634051322937012,0.881569504737854,72.05000305175781,0.7105135917663574,-0.0735428035259246,0.8417539000511169,52333.3274270604,82.7,85.06074504,69.4839779766539,4.06775999069214,2.94181405797187
XKX,Kosovo,2023,6.367599964141846,9.359097480773926,0.8437927961349487,65.19499206542969,0.861473560333252,0.2587166726589203,0.8661229014396667,13022.4627441502,77.623,,47.8001996538455,,8.1685714094263
CHL,Chile,2023,6.333799839019775,10.113971710205078,0.8891310691833496,70.2998275756836,0.7922620177268982,-0.0110291121527552,0.8227498531341553,29569.4775527937,79.176,92.31819916,88.6395352768685,4.91201019287109,6.2318507042491
MEX,Mexico,2023,6.329500198364258,9.849601745605469,0.8040080666542053,65.80000305175781,0.8562236428260803,-0.0935604721307754,0.7683507204055786,21391.8573692427,73.973,78.63217894,79.199683215791,4.05987977981567,2.67267286258385
MLT,Malta,2023,6.299900054931641,10.660865783691406,0.922677516937256,71.60003662109375,0.8856375217437744,0.1193149834871292,0.7288661599159241,56841.958125813,82.2975609756098,91.54062209,95.6003155132879,4.71258020401001,115.053872398938
